fecha,mes,modalidad,id_cliente,nombre_cliente,tipo_cliente,edad,id_ticket,total_ticket,ticket_promedio_ticket,id_plato,nombre_plato,categoria_plato,precio_plato,costo_plato,cantidad,subtotal,margen_linea,extra,num_clientes,ventas_totales_dia,ticket_promedio_dia,margen_total_dia,plato_top_mes,cant_top_mes
2023-01-01,2023-01,local,268,Imelda Arribas Guillén,empresa,19,139,18.0,18.0,15,churrasco_res,carne,18.0,10.4,1,18.0,7.6,nada,3,95.0,17.89,36.91,tallarin_verde,13
2023-01-01,2023-01,pension,398,Olivia Álvarez-Franco,empresa,48,158,36.0,18.0,27,escabeche_pescado,pescado,17.0,10.73,1,17.0,6.27,nada,2,66.0,24.0,25.19,tallarin_verde,13
2023-01-01,2023-01,pension,398,Olivia Álvarez-Franco,empresa,48,158,36.0,18.0,19,seco_de_res,carne,19.0,12.94,1,19.0,6.0600000000000005,postre,2,66.0,24.0,25.19,tallarin_verde,13
2023-01-01,2023-01,local,166,Armida Alvarado Caro,ocasional,46,993,62.0,20.666666666666668,2,frejol_con_pescado,pescado,17.0,10.41,2,34.0,13.18,postre,3,95.0,17.89,36.91,tallarin_verde,13
2023-01-01,2023-01,local,166,Armida Alvarado Caro,ocasional,46,993,62.0,20.666666666666668,16,pollo_broaster,pollo,12.0,7.4,1,12.0,4.6,nada,3,95.0,17.89,36.91,tallarin_verde,13
2023-01-01,2023-01,local,166,Armida Alvarado Caro,ocasional,46,993,62.0,20.666666666666668,14,arroz_a_la_cubana,arroz,16.0,10.9,1,16.0,5.1,gaseosa,3,95.0,17.89,36.91,tallarin_verde,13
2023-01-01,2023-01,local,259,Selena Ureña Alba,empresa,29,1321,15.0,15.0,28,higado_encebollado,menu,15.0,8.57,1,15.0,6.43,gaseosa,3,95.0,17.89,36.91,tallarin_verde,13
2023-01-01,2023-01,pension,22,Teo Segarra Almansa,ocasional,45,1987,30.0,30.0,28,higado_encebollado,menu,15.0,8.57,2,30.0,12.86,postre,2,66.0,24.0,25.19,tallarin_verde,13
2023-01-02,2023-01,local,355,Rubén Adelardo Luna Dueñas,ocasional,49,1969,20.0,20.0,9,chaufa_pollo,pollo,20.0,13.06,1,20.0,6.9399999999999995,postre,2,52.0,26.0,21.74,tallarin_verde,13
2023-01-02,2023-01,local,154,Teobaldo Valenciano Soto,ocasional,41,2980,32.0,32.0,8,tallarin_saltado,pasta,16.0,8.6,2,32.0,14.8,nada,2,52.0,26.0,21.74,tallarin_verde,13
2023-01-03,2023-01,pension,378,Narcisa Perez Piña,ocasional,48,685,12.0,12.0,10,milanesa_pollo,pollo,12.0,7.93,1,12.0,4.07,postre,3,109.0,15.5,39.83,tallarin_verde,13
2023-01-03,2023-01,local,221,Daniela Jove Mariño,ocasional,61,1435,95.0,23.75,25,bistec_a_lo_pobre,carne,20.0,13.05,2,40.0,13.899999999999999,gaseosa,2,109.0,18.88,38.61,tallarin_verde,13
2023-01-03,2023-01,local,221,Daniela Jove Mariño,ocasional,61,1435,95.0,23.75,9,chaufa_pollo,pollo,20.0,13.06,1,20.0,6.9399999999999995,nada,2,109.0,18.88,38.61,tallarin_verde,13
2023-01-03,2023-01,local,221,Daniela Jove Mariño,ocasional,61,1435,95.0,23.75,25,bistec_a_lo_pobre,carne,20.0,13.05,1,20.0,6.949999999999999,postre,2,109.0,18.88,38.61,tallarin_verde,13
2023-01-03,2023-01,local,221,Daniela Jove Mariño,ocasional,61,1435,95.0,23.75,17,carapulcra,menu,15.0,8.53,1,15.0,6.470000000000001,nada,2,109.0,18.88,38.61,tallarin_verde,13
2023-01-03,2023-01,local,193,Máximo Ballesteros Quintana,empresa,57,1584,14.0,14.0,26,salchipapa,fast_food,14.0,9.65,1,14.0,4.35,gaseosa,2,109.0,18.88,38.61,tallarin_verde,13
2023-01-03,2023-01,pension,215,Rosenda Muro Espada,ocasional,55,2233,56.0,14.0,23,cau_cau,menu,13.0,7.72,1,13.0,5.28,nada,3,109.0,15.5,39.83,tallarin_verde,13
2023-01-03,2023-01,pension,215,Rosenda Muro Espada,ocasional,55,2233,56.0,14.0,26,salchipapa,fast_food,14.0,9.65,1,14.0,4.35,nada,3,109.0,15.5,39.83,tallarin_verde,13
2023-01-03,2023-01,pension,215,Rosenda Muro Espada,ocasional,55,2233,56.0,14.0,1,arroz_con_pollo,pollo,12.0,7.23,1,12.0,4.77,nada,3,109.0,15.5,39.83,tallarin_verde,13
2023-01-03,2023-01,pension,215,Rosenda Muro Espada,ocasional,55,2233,56.0,14.0,2,frejol_con_pescado,pescado,17.0,10.41,1,17.0,6.59,gaseosa,3,109.0,15.5,39.83,tallarin_verde,13
2023-01-03,2023-01,pension,194,Nieves de Pulido,empresa,22,2846,41.0,20.5,16,pollo_broaster,pollo,12.0,7.4,2,24.0,9.2,gaseosa,3,109.0,15.5,39.83,tallarin_verde,13
2023-01-03,2023-01,pension,194,Nieves de Pulido,empresa,22,2846,41.0,20.5,6,trucha_frita,pescado,17.0,11.43,1,17.0,5.57,postre,3,109.0,15.5,39.83,tallarin_verde,13
2023-01-04,2023-01,local,328,Cruz Gaspar Gutierrez Palma,empresa,58,542,48.0,24.0,14,arroz_a_la_cubana,arroz,16.0,10.9,2,32.0,10.2,nada,4,156.0,23.0,56.41,tallarin_verde,13
2023-01-04,2023-01,local,328,Cruz Gaspar Gutierrez Palma,empresa,58,542,48.0,24.0,7,aji_de_gallina,menu,16.0,10.1,1,16.0,5.9,nada,4,156.0,23.0,56.41,tallarin_verde,13
2023-01-04,2023-01,local,123,Adela Constanza Adadia Valenzuela,empresa,23,1441,48.0,24.0,24,arroz_con_mariscos,pescado,16.0,10.32,1,16.0,5.68,gaseosa,4,156.0,23.0,56.41,tallarin_verde,13
2023-01-04,2023-01,local,123,Adela Constanza Adadia Valenzuela,empresa,23,1441,48.0,24.0,29,sudado_pescado,pescado,16.0,9.35,2,32.0,13.3,postre,4,156.0,23.0,56.41,tallarin_verde,13
2023-01-04,2023-01,local,77,Ariadna Lumbreras Recio,ocasional,35,1478,28.0,28.0,21,tallarin_verde,pasta,14.0,9.35,2,28.0,9.3,nada,4,156.0,23.0,56.41,tallarin_verde,13
2023-01-04,2023-01,local,242,Rubén Leandro Molina Blasco,ocasional,52,2179,32.0,16.0,18,chanfainita,menu,15.0,9.56,1,15.0,5.4399999999999995,postre,4,156.0,23.0,56.41,tallarin_verde,13
2023-01-04,2023-01,local,242,Rubén Leandro Molina Blasco,ocasional,52,2179,32.0,16.0,2,frejol_con_pescado,pescado,17.0,10.41,1,17.0,6.59,postre,4,156.0,23.0,56.41,tallarin_verde,13
2023-01-05,2023-01,pension,35,Rosa María Vergara Santana,empresa,34,2393,20.0,20.0,22,adobo_cerdo,menu,20.0,10.72,1,20.0,9.28,postre,1,20.0,20.0,9.28,tallarin_verde,13
2023-01-06,2023-01,pension,233,Calixta Sainz Arteaga,ocasional,43,486,86.0,21.5,25,bistec_a_lo_pobre,carne,20.0,13.05,1,20.0,6.949999999999999,postre,3,250.0,25.39,95.13,tallarin_verde,13
2023-01-06,2023-01,pension,233,Calixta Sainz Arteaga,ocasional,43,486,86.0,21.5,30,fetuccini_alfredo,pasta,17.0,9.76,1,17.0,7.24,postre,3,250.0,25.39,95.13,tallarin_verde,13
2023-01-06,2023-01,pension,233,Calixta Sainz Arteaga,ocasional,43,486,86.0,21.5,17,carapulcra,menu,15.0,8.53,1,15.0,6.470000000000001,nada,3,250.0,25.39,95.13,tallarin_verde,13
2023-01-06,2023-01,pension,233,Calixta Sainz Arteaga,ocasional,43,486,86.0,21.5,27,escabeche_pescado,pescado,17.0,10.73,2,34.0,12.54,nada,3,250.0,25.39,95.13,tallarin_verde,13
2023-01-06,2023-01,local,201,Cornelio Frutos Piquer,ocasional,46,525,17.0,17.0,27,escabeche_pescado,pescado,17.0,10.73,1,17.0,6.27,nada,2,33.0,16.5,11.95,tallarin_verde,13
2023-01-06,2023-01,local,353,Norberto Mármol Bosch,ocasional,45,824,16.0,16.0,24,arroz_con_mariscos,pescado,16.0,10.32,1,16.0,5.68,gaseosa,2,33.0,16.5,11.95,tallarin_verde,13
2023-01-06,2023-01,pension,390,Josefa Arana Guitart,ocasional,70,1779,84.0,28.0,29,sudado_pescado,pescado,16.0,9.35,1,16.0,6.65,gaseosa,3,250.0,25.39,95.13,tallarin_verde,13
2023-01-06,2023-01,pension,390,Josefa Arana Guitart,ocasional,70,1779,84.0,28.0,24,arroz_con_mariscos,pescado,16.0,10.32,2,32.0,11.36,postre,3,250.0,25.39,95.13,tallarin_verde,13
2023-01-06,2023-01,pension,390,Josefa Arana Guitart,ocasional,70,1779,84.0,28.0,11,estofado_res,carne,18.0,11.38,2,36.0,13.239999999999998,postre,3,250.0,25.39,95.13,tallarin_verde,13
2023-01-06,2023-01,pension,37,Román Benito Díez,ocasional,20,2954,80.0,26.666666666666668,14,arroz_a_la_cubana,arroz,16.0,10.9,2,32.0,10.2,postre,3,250.0,25.39,95.13,tallarin_verde,13
2023-01-06,2023-01,pension,37,Román Benito Díez,ocasional,20,2954,80.0,26.666666666666668,8,tallarin_saltado,pasta,16.0,8.6,2,32.0,14.8,gaseosa,3,250.0,25.39,95.13,tallarin_verde,13
2023-01-06,2023-01,pension,37,Román Benito Díez,ocasional,20,2954,80.0,26.666666666666668,24,arroz_con_mariscos,pescado,16.0,10.32,1,16.0,5.68,postre,3,250.0,25.39,95.13,tallarin_verde,13
2023-01-07,2023-01,local,329,Jacinto Trujillo,ocasional,38,60,35.0,17.5,18,chanfainita,menu,15.0,9.56,1,15.0,5.4399999999999995,postre,2,65.0,23.75,25.6,tallarin_verde,13
2023-01-07,2023-01,local,329,Jacinto Trujillo,ocasional,38,60,35.0,17.5,22,adobo_cerdo,menu,20.0,10.72,1,20.0,9.28,postre,2,65.0,23.75,25.6,tallarin_verde,13
2023-01-07,2023-01,pension,140,Reinaldo Bello Sastre,ocasional,47,1614,14.0,14.0,26,salchipapa,fast_food,14.0,9.65,1,14.0,4.35,postre,2,33.0,16.5,10.06,tallarin_verde,13
