fecha,mes,modalidad,id_cliente,nombre_cliente,tipo_cliente,edad,id_ticket,total_ticket,ticket_promedio_ticket,id_plato,nombre_plato,categoria_plato,precio_plato,costo_plato,cantidad,subtotal,margen_linea,extra,num_clientes,ventas_totales_dia,ticket_promedio_dia,margen_total_dia,plato_top_mes,cant_top_mes,margen_plato,rotacion_code,margen_plato_real,margen_plato_pred,ticket_dia_real,ticket_dia_pred,rotacion_real,rotacion_pred
2023-06-08,2023-06,local,281,Santos Santamaria Rosselló,ocasional,37,1289,29.0,14.5,14,arroz_a_la_cubana,arroz,16.0,10.9,1,16.0,5.1,gaseosa,2,47.0,16.25,17.95,arroz_con_mariscos,15,5.1,1,5.1,4.843,16.25,17.95,1,1
2024-07-31,2024-07,local,327,Jordi Melero-Bernal,empresa,20,88,76.0,25.333333333333332,25,bistec_a_lo_pobre,carne,20.0,13.05,2,40.0,13.9,postre,2,100.0,24.67,39.37,higado_encebollado,17,13.899999999999999,1,13.899999999999999,13.8916129032258,24.67,21.18548387096774,1,1
2024-02-05,2024-02,local,268,Imelda Arribas Guillén,empresa,19,2065,20.0,20.0,22,adobo_cerdo,menu,20.0,10.72,1,20.0,9.28,gaseosa,5,148.0,20.6,57.06,arroz_a_la_cubana,20,9.28,1,9.28,9.070166666666658,20.6,20.917166666666667,1,1
2024-09-05,2024-09,local,220,Edmundo Barrera Vélez,ocasional,62,550,42.0,14.0,23,cau_cau,menu,13.0,7.72,1,13.0,5.28,gaseosa,4,106.0,15.62,40.1,arroz_a_la_cubana,14,5.28,1,5.28,4.783606557377046,15.62,19.11043715846994,1,1
2023-04-06,2023-04,pension,262,Evita Hilda Bonilla Tello,ocasional,64,2888,14.0,14.0,21,tallarin_verde,pasta,14.0,9.35,1,14.0,4.65,nada,3,83.0,22.5,28.55,chicharron_cerdo,19,4.65,1,4.65,4.762080000000002,22.5,16.984960000000004,1,1
2024-02-02,2024-02,local,268,Imelda Arribas Guillén,empresa,19,2431,16.0,16.0,3,chicharron_cerdo,menu,16.0,8.96,1,16.0,7.039999999999999,nada,3,70.0,17.33,28.01,arroz_a_la_cubana,20,7.039999999999999,1,7.039999999999999,6.373737113402062,17.33,18.12618556701031,1,1
2023-06-21,2023-06,pension,25,Telmo Calvo,ocasional,44,1385,13.0,13.0,4,lomo_saltado,carne,13.0,7.75,1,13.0,5.25,nada,4,98.0,18.62,39.33,arroz_con_mariscos,15,5.25,1,5.25,4.783606557377046,18.62,19.11043715846994,1,1
2023-08-26,2023-08,pension,229,Adelardo Carreño Bartolomé,ocasional,64,973,13.0,13.0,4,lomo_saltado,carne,13.0,7.75,1,13.0,5.25,postre,3,76.0,19.83,32.18,adobo_cerdo,17,5.25,1,5.25,4.762080000000002,19.83,16.984960000000004,1,1
2023-04-15,2023-04,local,316,Mireia Carreras Rico,ocasional,59,46,31.0,15.5,8,tallarin_saltado,pasta,16.0,8.6,1,16.0,7.4,postre,3,77.0,20.5,31.32,chicharron_cerdo,19,7.4,1,7.4,6.373737113402062,20.5,18.12618556701031,1,1
2024-12-08,2024-12,local,171,Belén Ainara Guerrero Bárcena,empresa,48,326,13.0,13.0,23,cau_cau,menu,13.0,7.72,1,13.0,5.28,nada,2,30.0,15.0,10.42,alberjita_guiso,19,5.28,1,5.28,4.936749999999998,15.0,14.848249999999998,1,1
2024-10-31,2024-10,pension,10,Soledad Marti,ocasional,65,298,52.0,17.333333333333332,19,seco_de_res,carne,19.0,12.94,1,19.0,6.0600000000000005,gaseosa,2,76.0,20.67,28.38,tallarin_saltado,13,6.0600000000000005,1,6.0600000000000005,6.373737113402062,20.67,18.12618556701031,1,1
2023-07-10,2023-07,local,76,Flor del Priego,empresa,32,2650,18.0,18.0,15,churrasco_res,carne,18.0,10.4,1,18.0,7.6,postre,4,118.0,21.33,46.16,tallarin_verde,19,7.6,1,7.6,6.008469945355177,21.33,19.450819672131143,1,1
2024-08-20,2024-08,local,54,Susana Pedrero Amador,ocasional,57,2997,30.0,15.0,21,tallarin_verde,pasta,14.0,9.35,1,14.0,4.65,gaseosa,2,48.0,16.5,17.92,seco_de_res,13,4.65,1,4.65,6.363465346534655,16.5,16.604653465346537,1,1
2024-03-09,2024-03,pension,290,Jacobo Ortiz,ocasional,24,97,45.0,22.5,30,fetuccini_alfredo,pasta,17.0,9.76,1,17.0,7.24,postre,4,163.0,23.88,64.77,milanesa_pollo,17,7.24,1,7.24,5.863881856540088,23.88,21.201603375527434,1,1
2024-10-19,2024-10,pension,326,Jafet Antúnez Barriga,empresa,41,1958,16.0,16.0,8,tallarin_saltado,pasta,16.0,8.6,1,16.0,7.4,nada,2,31.0,15.5,12.84,tallarin_saltado,13,7.4,1,7.4,6.044653465346533,15.5,15.574257425742575,1,1
2024-11-07,2024-11,pension,366,Ricardo Berenguer,empresa,70,1400,51.0,25.5,5,alberjita_guiso,menu,17.0,11.86,2,34.0,10.28,postre,7,304.0,23.07,111.59,alberjita_guiso,17,10.280000000000001,1,10.280000000000001,11.14921052631579,23.07,21.19315789473684,1,1
2024-11-26,2024-11,local,128,Alberto Campo Manuel,empresa,50,684,18.0,18.0,15,churrasco_res,carne,18.0,10.4,1,18.0,7.6,gaseosa,4,71.0,17.75,29.06,alberjita_guiso,17,7.6,1,7.6,6.008469945355177,17.75,19.450819672131143,1,1
2023-05-14,2023-05,pension,125,Luciano Canales Canals,empresa,27,1730,38.0,38.0,13,tortilla_verduras,menu,19.0,13.29,2,38.0,11.420000000000002,gaseosa,5,178.0,20.95,62.07,arroz_a_la_cubana,17,11.420000000000002,1,11.420000000000002,12.519731543624157,20.95,24.128255033557043,1,1
2023-06-07,2023-06,local,148,Bartolomé Cánovas Noriega,ocasional,47,263,16.0,16.0,3,chicharron_cerdo,menu,16.0,8.96,1,16.0,7.039999999999999,gaseosa,2,48.0,16.0,20.12,arroz_con_mariscos,15,7.039999999999999,1,7.039999999999999,6.325578947368419,16.0,18.02284210526316,1,1
2024-10-09,2024-10,pension,33,Baldomero Borrás Vega,empresa,57,811,17.0,17.0,2,frejol_con_pescado,pescado,17.0,10.41,1,17.0,6.59,nada,3,66.0,22.0,26.2,tallarin_saltado,13,6.59,1,6.59,6.373737113402062,22.0,18.12618556701031,1,1
2024-01-10,2024-01,pension,8,Lupita Cánovas,empresa,35,1266,34.0,17.0,6,trucha_frita,pescado,17.0,11.43,1,17.0,5.57,gaseosa,4,93.0,15.0,33.16,trucha_frita,15,5.57,1,5.57,6.373737113402062,15.0,18.12618556701031,1,1
2024-03-09,2024-03,pension,139,Marciano Saura Contreras,ocasional,27,777,48.0,24.0,3,chicharron_cerdo,menu,16.0,8.96,2,32.0,14.079999999999998,gaseosa,4,163.0,23.88,64.77,milanesa_pollo,17,14.079999999999998,1,14.079999999999998,13.138547486033515,23.88,20.821731843575414,1,1
2023-05-04,2023-05,pension,358,Rico Perea,ocasional,69,119,12.0,12.0,1,arroz_con_pollo,pollo,12.0,7.23,1,12.0,4.77,postre,3,77.0,17.67,27.5,arroz_a_la_cubana,17,4.77,1,4.77,4.762080000000002,17.67,16.984960000000004,1,1
2023-01-06,2023-01,pension,233,Calixta Sainz Arteaga,ocasional,43,486,86.0,21.5,27,escabeche_pescado,pescado,17.0,10.73,2,34.0,12.54,nada,3,250.0,25.39,95.13,tallarin_verde,13,12.54,1,12.54,13.138547486033515,25.39,20.821731843575414,1,1
2024-01-19,2024-01,local,339,Dimas Bermejo,ocasional,36,1136,16.0,16.0,29,sudado_pescado,pescado,16.0,9.35,1,16.0,6.65,nada,3,63.0,16.33,23.83,trucha_frita,15,6.65,1,6.65,6.373737113402062,16.33,18.12618556701031,1,1
2024-10-06,2024-10,pension,18,Anna Montalbán Jerez,ocasional,60,2356,14.0,14.0,21,tallarin_verde,pasta,14.0,9.35,1,14.0,4.65,nada,2,44.0,14.5,16.67,tallarin_saltado,13,4.65,1,4.65,4.936749999999998,14.5,14.848249999999998,1,1
2024-07-21,2024-07,pension,92,Teresita Reig Valls,empresa,70,112,16.0,16.0,7,aji_de_gallina,menu,16.0,10.1,1,16.0,5.9,gaseosa,3,67.0,17.83,25.33,higado_encebollado,17,5.9,1,5.9,6.373737113402062,17.83,18.12618556701031,1,1
2023-10-27,2023-10,pension,223,Fabricio Palomo Sureda,empresa,24,2201,35.0,17.5,13,tortilla_verduras,menu,19.0,13.29,1,19.0,5.710000000000001,gaseosa,3,66.0,16.17,21.29,bistec_a_lo_pobre,17,5.710000000000001,1,5.710000000000001,6.373737113402062,16.17,18.12618556701031,1,1
2023-12-26,2023-12,pension,213,Beatriz Carranza,ocasional,39,2291,44.0,14.666666666666666,4,lomo_saltado,carne,13.0,7.75,1,13.0,5.25,postre,3,160.0,19.56,61.93,adobo_cerdo,17,5.25,1,5.25,4.783606557377046,19.56,19.11043715846994,1,1
2023-02-05,2023-02,local,354,Bernarda Haro Estrada,ocasional,35,1868,20.0,20.0,22,adobo_cerdo,menu,20.0,10.72,1,20.0,9.28,nada,2,37.0,18.5,16.52,salchipapa,13,9.28,1,9.28,9.28,18.5,18.541666666666668,1,1
2024-04-10,2024-04,pension,282,Octavia del Cano,ocasional,65,1360,19.0,19.0,13,tortilla_verduras,menu,19.0,13.29,1,19.0,5.710000000000001,gaseosa,2,31.0,15.5,10.31,trucha_frita,15,5.710000000000001,1,5.710000000000001,6.150111111111106,15.5,16.733333333333334,1,1
2023-01-23,2023-01,pension,223,Fabricio Palomo Sureda,empresa,24,1406,16.0,16.0,29,sudado_pescado,pescado,16.0,9.35,1,16.0,6.65,postre,2,29.0,14.5,11.93,tallarin_verde,13,6.65,1,6.65,6.044653465346533,14.5,15.574257425742575,1,1
2023-11-10,2023-11,pension,171,Belén Ainara Guerrero Bárcena,empresa,48,1100,36.0,18.0,10,milanesa_pollo,pollo,12.0,7.93,1,12.0,4.07,postre,4,86.0,17.0,29.4,chaufa_pollo,19,4.07,1,4.07,6.008469945355177,17.0,19.450819672131143,1,1
